1E+027,pr2,pr3,pr4,pr5,label,intId
656,833,631,698,615,one,3
657,833,631,699,615,one,3
657,833,631,699,615,one,3
657,833,631,699,615,one,3
657,833,632,699,615,one,3
656,833,630,699,615,one,3
657,833,631,699,615,one,3
657,833,632,699,615,one,3
657,833,631,699,615,one,3
657,833,631,699,615,one,3
657,833,632,699,615,one,3
656,833,631,699,615,one,3
656,833,632,699,615,one,3
657,833,631,699,615,one,3
657,833,631,699,615,one,3
657,833,631,699,615,one,3
656,832,631,699,614,one,3
657,833,631,699,614,one,3
656,833,631,699,614,one,3
656,833,631,699,614,one,3
655,833,631,700,614,one,3
656,832,631,699,614,one,3
656,832,631,699,614,one,3
656,832,631,698,614,one,3
657,833,631,699,613,one,3
656,833,631,699,614,one,3
657,833,632,699,613,one,3
656,833,631,698,612,one,3
656,833,632,699,614,one,3
656,833,631,700,613,one,3
656,832,631,699,613,one,3
656,832,631,699,613,one,3
656,833,631,699,613,one,3
656,832,631,699,613,one,3
655,833,631,699,613,one,3
656,832,631,698,613,one,3
655,832,631,698,613,one,3
656,832,631,698,613,one,3
655,832,631,698,613,one,3
655,832,631,699,612,one,3
656,833,631,699,613,one,3
655,833,631,698,613,one,3
656,833,631,699,613,one,3
655,833,631,698,613,one,3
656,832,631,699,613,one,3
655,832,630,699,613,one,3
655,832,631,698,613,one,3
655,833,631,699,612,one,3
655,832,631,698,612,one,3
656,832,631,699,612,one,3
656,833,631,699,612,one,3
655,832,631,699,611,one,3
655,833,631,699,611,one,3
656,832,632,699,611,one,3
655,832,631,699,610,one,3
655,832,632,699,610,one,3
655,833,631,699,610,one,3
654,832,631,699,610,one,3
655,833,631,699,610,one,3
655,833,631,699,610,one,3
655,833,631,699,609,one,3
655,833,631,699,610,one,3
654,833,631,699,610,one,3
654,833,631,699,609,one,3
655,833,631,699,610,one,3
654,833,631,699,610,one,3
654,833,632,700,610,one,3
655,833,631,699,611,one,3
655,833,631,699,611,one,3
655,832,631,699,611,one,3
654,833,630,699,611,one,3
655,832,631,699,611,one,3
655,834,631,699,612,one,3
655,833,631,699,612,one,3
655,833,632,699,612,one,3
655,833,631,699,613,one,3
656,833,631,699,613,one,3
655,833,631,699,613,one,3
656,833,632,699,613,one,3
655,834,631,699,614,one,3
655,833,631,698,614,one,3
656,833,631,699,614,one,3
656,833,631,699,615,one,3
656,833,631,699,615,one,3
656,833,631,699,615,one,3
656,832,632,699,616,one,3
656,833,631,699,616,one,3
657,833,631,699,617,one,3
657,833,632,699,617,one,3
657,833,632,699,617,one,3
657,833,632,699,618,one,3
657,833,632,699,618,one,3
657,833,632,699,619,one,3
656,833,632,699,619,one,3
657,832,632,698,620,one,3
657,833,632,699,621,one,3
657,833,632,699,621,one,3
657,834,632,699,621,one,3
657,834,632,699,621,one,3
658,833,633,699,621,one,3
657,834,632,699,621,one,3
658,833,633,699,622,one,3
657,834,632,699,621,one,3
657,834,633,699,622,one,3
658,834,632,700,622,one,3
657,833,633,699,623,one,3
658,834,633,699,622,one,3
658,833,633,699,622,one,3
658,834,632,699,622,one,3
658,833,633,699,622,one,3
657,834,632,699,623,one,3
658,833,632,699,622,one,3
657,833,632,699,622,one,3
657,833,632,699,622,one,3
657,834,632,699,622,one,3
658,833,632,699,622,one,3
657,833,632,699,622,one,3
657,833,632,699,622,one,3
657,833,631,699,621,one,3
656,833,631,699,612,one,3
655,833,631,699,610,one,3
656,833,631,699,610,one,3
656,833,631,699,609,one,3
655,833,631,699,609,one,3
655,833,631,699,609,one,3
655,833,631,699,609,one,3
655,833,631,699,608,one,3
655,833,631,699,609,one,3
655,833,631,698,609,one,3
655,834,631,699,609,one,3
655,833,631,699,610,one,3
655,833,631,699,609,one,3
655,833,631,699,611,one,3
656,833,631,699,611,one,3
656,833,631,699,611,one,3
655,833,632,699,611,one,3
656,833,631,699,612,one,3
656,833,632,699,613,one,3
656,833,631,699,613,one,3
655,833,631,698,614,one,3
655,833,631,699,614,one,3
655,833,631,699,614,one,3
656,832,631,698,614,one,3
656,833,631,699,615,one,3
655,833,631,698,615,one,3
656,833,632,699,614,one,3
655,833,631,699,615,one,3
656,833,632,698,615,one,3
655,833,631,699,616,one,3
653,832,632,698,613,one,3
652,833,631,698,611,one,3
652,832,631,698,611,one,3
652,832,631,698,610,one,3
650,833,631,698,608,one,3
650,832,631,698,608,one,3
649,833,631,699,607,one,3
651,833,631,699,609,one,3
654,834,631,699,613,one,3
655,833,632,699,614,one,3
655,833,632,699,615,one,3
654,833,632,699,615,one,3
655,835,632,699,615,one,3
655,834,632,699,616,one,3
655,833,632,699,616,one,3
655,835,632,699,616,one,3
656,835,633,698,616,one,3
656,836,632,699,617,one,3
656,837,633,699,618,one,3
657,838,634,699,617,one,3
656,839,634,700,618,one,3
658,838,635,700,619,one,3
656,839,635,700,618,one,3
657,840,635,700,618,one,3
657,840,635,701,619,one,3
657,840,636,700,619,one,3
657,840,636,701,620,one,3
657,840,636,701,620,one,3
658,840,636,701,620,one,3
658,841,636,701,620,one,3
658,841,637,701,620,one,3
658,842,638,702,621,one,3
659,844,638,704,623,one,3
661,846,639,705,625,one,3
663,848,641,706,628,one,3
666,852,643,709,631,one,3
667,854,644,711,633,one,3
668,857,646,713,634,one,3
668,858,646,714,634,one,3
669,859,647,715,634,one,3
668,860,646,716,634,one,3
669,860,647,716,634,one,3
668,861,646,717,634,one,3
669,861,647,718,634,one,3
670,862,647,718,634,one,3
669,862,647,719,634,one,3
669,861,647,719,634,one,3
669,862,646,720,634,one,3
669,862,647,719,634,one,3
669,862,647,719,634,one,3
669,862,647,719,635,one,3
669,862,647,719,634,one,3
669,861,646,718,634,one,3
668,862,647,718,634,one,3
668,862,647,718,633,one,3
669,862,647,718,634,one,3
669,862,647,718,634,one,3
669,862,646,718,633,one,3
668,862,647,718,633,one,3
668,862,647,718,634,one,3
668,862,647,718,633,one,3
668,862,647,718,633,one,3
668,861,646,718,633,one,3
667,862,646,718,633,one,3
668,862,647,718,634,one,3
668,862,646,718,632,one,3
668,861,646,718,633,one,3
669,862,646,718,632,one,3
668,863,646,718,633,one,3
667,862,647,718,633,one,3
667,862,647,718,632,one,3
666,862,647,718,632,one,3
664,862,646,718,630,one,3
664,861,646,718,628,one,3
664,862,646,717,627,one,3
663,862,646,718,627,one,3
663,862,646,718,628,one,3
663,862,646,718,628,one,3
663,862,646,718,628,one,3
663,862,647,717,629,one,3
664,862,647,718,630,one,3
663,861,646,717,629,one,3
658,862,646,718,621,one,3
660,862,646,718,615,one,3
663,862,646,718,625,one,3
663,861,647,717,628,one,3
663,862,646,717,628,one,3
663,862,646,717,629,one,3
662,862,646,718,628,one,3
663,861,646,718,628,one,3
663,862,646,717,628,one,3
663,862,647,717,628,one,3
664,862,647,717,627,one,3
663,862,646,718,628,one,3
663,862,647,718,628,one,3
664,862,646,718,627,one,3
663,862,646,717,627,one,3
664,862,646,718,627,one,3
663,862,646,717,627,one,3
664,862,646,718,627,one,3
664,862,646,717,627,one,3
663,862,646,717,626,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,627,one,3
664,861,646,717,628,one,3
663,862,646,717,627,one,3
664,861,646,717,627,one,3
664,862,646,717,627,one,3
664,862,646,717,628,one,3
664,862,646,717,627,one,3
664,863,646,717,627,one,3
665,862,647,717,627,one,3
664,862,646,718,628,one,3
664,862,647,717,628,one,3
664,862,646,718,627,one,3
664,862,647,717,627,one,3
664,862,647,717,628,one,3
664,862,647,716,629,one,3
664,861,647,717,628,one,3
664,862,646,716,629,one,3
665,862,646,716,630,one,3
665,862,646,716,630,one,3
665,862,646,716,631,one,3
665,861,646,715,630,one,3
665,861,646,716,630,one,3
665,861,646,715,631,one,3
665,862,647,716,631,one,3
665,861,647,716,630,one,3
664,862,647,716,630,one,3
664,861,647,716,630,one,3
663,862,646,716,629,one,3
664,862,647,715,629,one,3
664,862,646,716,629,one,3
664,862,647,715,629,one,3
664,862,647,716,628,one,3
664,863,647,715,629,one,3
664,862,647,715,629,one,3
663,862,647,716,628,one,3
663,862,647,715,629,one,3
663,862,646,715,627,one,3
663,862,647,715,628,one,3
663,862,646,715,628,one,3
662,862,646,715,628,one,3
662,862,647,715,628,one,3
662,862,647,715,628,one,3
662,862,647,715,628,one,3
662,863,647,715,628,one,3
662,862,647,715,627,one,3
662,862,647,715,627,one,3
662,862,647,715,628,one,3
662,862,647,715,627,one,3
662,863,647,715,628,one,3
662,862,647,715,628,one,3
662,862,646,715,627,one,3
661,861,647,715,628,one,3
661,862,646,715,627,one,3
661,862,647,715,628,one,3
662,862,647,715,627,one,3
661,862,647,714,628,one,3
661,862,647,715,628,one,3
661,863,647,715,628,one,3
662,862,647,715,628,one,3
661,862,647,715,628,one,3
661,861,647,715,629,one,3
660,862,646,716,628,one,3
660,862,646,715,628,one,3
660,862,646,715,628,one,3
660,861,646,714,628,one,3
659,858,646,711,627,one,3
657,854,645,708,626,one,3
655,848,644,707,622,one,3
653,844,643,706,618,one,3
651,842,642,704,616,one,3
651,840,641,704,615,one,3
650,838,639,702,614,one,3
650,837,638,701,613,one,3
650,836,637,701,614,one,3
650,835,637,701,614,one,3
650,834,636,700,614,one,3
650,833,636,699,614,one,3
650,834,635,700,614,one,3
650,833,635,700,614,one,3
650,833,636,700,613,one,3
650,834,635,700,614,one,3
651,833,636,700,614,one,3
650,833,635,700,614,one,3
650,833,636,700,614,one,3
650,833,636,701,614,two,4
650,833,635,700,614,two,4
650,833,635,701,614,two,4
650,833,635,700,614,two,4
651,834,635,700,614,two,4
650,833,636,701,614,two,4
651,833,635,700,613,two,4
650,833,635,701,614,two,4
650,834,636,701,614,two,4
650,833,636,701,614,two,4
650,833,636,701,614,two,4
