delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5
0.00553703308105,1577147221.72,445,902,634,696,291
0.00592803955078,1577147221.72,445,901,633,697,289
0.00608682632446,1577147221.72,446,902,634,698,292
0.00624489784241,1577147221.72,445,901,635,697,289
0.00640201568604,1577147221.72,444,900,633,696,288
0.0065598487854,1577147221.72,446,901,634,697,292
0.00671887397766,1577147221.72,444,902,633,697,290
0.00687694549561,1577147221.72,444,902,634,698,290
0.00703501701355,1577147221.72,446,901,634,697,290
0.00719404220581,1577147221.72,445,902,633,696,289
0.00735187530518,1577147221.72,445,900,635,697,292
0.00751090049744,1577147221.72,445,902,634,698,290
0.00766897201538,1577147221.72,443,901,633,696,289
0.00782799720764,1577147221.72,444,901,635,697,290
0.0079870223999,1577147221.72,445,901,634,698,290
0.00814700126648,1577147221.72,442,901,633,697,289
0.00831890106201,1577147221.72,443,901,635,697,289
0.00847792625427,1577147221.73,442,900,633,698,288
0.00863695144653,1577147221.73,444,900,634,699,290
0.00879597663879,1577147221.73,444,900,636,700,289
0.00895404815674,1577147221.73,441,900,635,701,285
0.0091118812561,1577147221.73,443,900,636,701,289
0.00929689407349,1577147221.73,442,900,635,702,289
0.0094690322876,1577147221.73,441,900,635,701,287
0.00962996482849,1577147221.73,443,899,635,701,288
0.00978803634644,1577147221.73,444,901,635,700,288
0.0099470615387,1577147221.73,442,901,635,701,290
0.0101058483124,1577147221.73,443,898,635,699,289
0.0102639198303,1577147221.73,443,900,632,698,286
0.0104219913483,1577147221.73,444,901,635,699,290
0.0105810165405,1577147221.73,445,901,636,700,290
0.0107400417328,1577147221.73,443,900,634,699,289
0.0108978748322,1577147221.73,444,901,634,698,289
0.0110569000244,1577147221.73,443,900,635,698,288
0.0112159252167,1577147221.73,445,901,634,700,290
0.020742893219,1577147221.74,444,900,634,699,290
0.0454020500183,1577147221.76,442,900,634,696,287
0.065840959549,1577147221.78,443,900,634,700,290
0.090381860733,1577147221.81,445,899,634,698,290
0.111158847809,1577147221.83,443,901,634,698,288
0.135692834854,1577147221.85,444,900,634,699,289
0.160025835037,1577147221.88,445,900,634,699,290
0.180754899979,1577147221.9,444,900,633,700,290
0.205379962921,1577147221.92,444,900,635,699,289
0.225636005402,1577147221.94,442,900,633,698,288
0.250185012817,1577147221.97,445,901,634,698,291
0.27464389801,1577147221.99,443,901,634,699,288
0.295268058777,1577147222.01,443,899,634,699,288
0.319609880447,1577147222.04,444,901,634,698,289
0.340415000916,1577147222.06,443,900,635,698,289
0.365051031113,1577147222.08,444,900,636,701,289
0.385580062866,1577147222.1,443,900,635,701,289
0.409885883331,1577147222.13,440,900,635,699,287
0.43454003334,1577147222.15,440,900,636,700,289
0.455121994019,1577147222.17,440,899,635,702,287
0.47950387001,1577147222.2,439,899,634,700,286
0.500018835068,1577147222.22,440,899,635,700,285
0.524797916412,1577147222.24,440,899,634,701,285
0.549041032791,1577147222.27,440,899,634,701,287
0.569572925568,1577147222.29,438,900,633,700,284
0.594245910645,1577147222.31,438,898,633,699,283
0.614797830582,1577147222.33,441,899,634,701,287
0.639370918274,1577147222.36,440,900,633,701,285
0.663740873337,1577147222.38,438,898,634,700,284
0.684265851974,1577147222.4,441,898,633,700,285
0.708821058273,1577147222.43,440,899,633,699,285
0.729331970215,1577147222.45,439,899,633,701,286
0.753871917725,1577147222.47,440,899,633,700,284
0.774478912354,1577147222.49,437,899,632,699,282
0.798972845078,1577147222.52,440,898,633,699,286
0.823395013809,1577147222.54,440,899,634,700,286
0.844259023666,1577147222.56,439,899,632,698,284
0.868824005127,1577147222.59,441,900,634,698,287
