delta Time, Unix Time,time, pr1, pr2, pr3, pr4, pr5,avg,delta,dn/dt,label,,,,,,,,,,,,,,,,,,,,,
1.52733302116,1577122812,1.52999997138977,458,864,639,476,317,550.8,-26.8000000000001,19.3902454887138,FIST,35,16034,30103,22231,16445,11091,,,,,,7345448,25891717,14120745,7729451,3514621,,,,,
1.55155587196,1577122812.02,1.54999995231628,457,866,639,477,318,551.4,-26.2,24.7699994089888,FIST,36,16491,30969,22870,16922,11409,,,,,,7554297,26641673,14529066,7956980,3615745,,,,,
1.57207393646,1577122812.05,1.57999992370605,457,866,640,478,319,552,-25.6,29.2425243131499,FIST,37,16948,31835,23510,17400,11728,,,,,,7763146,27391629,14938666,8185464,3717506,,,,,
1.5969119072,1577122812.07,1.59999990463257,456,866,639,478,319,551.6,-26,-16.1043751998548,FIST,38,17404,32701,24149,17878,12047,,,,,,7971082,28141585,15346987,8413948,3819267,,,,,
1.62130188942,1577122812.09,1.61999988555908,456,865,639,479,318,551.4,-26.2,-8.20008797858179,FIST,39,17860,33566,24788,18357,12365,,,,,,8179018,28889810,15755308,8643389,3920391,,,,,
1.64191102982,1577122812.12,1.64999985694885,456,868,640,479,318,552.2,-25.4,38.8177276913534,FIST,40,18316,34434,25428,18836,12683,,,,,,8386954,29643234,16164908,8872830,4021515,,,,,
1.66664004326,1577122812.14,1.67000007629395,456,869,640,480,318,552.6,-25,16.1753319019579,FIST,41,18772,35303,26068,19316,13001,,,,,,8594890,30398395,16574508,9103230,4122639,,,,,
1.68708491325,1577122812.16,1.69000005722046,455,868,639,481,318,552.2,-25.4,-19.5648101550962,FIST,42,19227,36171,26707,19797,13319,,,,,,8801915,31151819,16982829,9334591,4223763,,,,,
1.71161389351,1577122812.19,1.72000002861023,456,866,640,481,318,552.2,-25.4,0,FIST,43,19683,37037,27347,20278,13637,,,,,,9009851,31901775,17392429,9565952,4324887,,,,,
1.73585391045,1577122812.21,1.74000000953674,457,868,640,483,318,553.2,-24.4,41.2540965823271,FIST,44,20140,37905,27987,20761,13955,,,,,,9218700,32655199,17802029,9799241,4426011,,,,,
1.75660395622,1577122812.23,1.75999999046326,456,868,640,484,319,553.4,-24.2,9.63853295635074,FIST,45,20596,38773,28627,21245,14274,,,,,,9426636,33408623,18211629,10033497,4527772,,,,,
1.78103899956,1577122812.25,1.77999997138977,457,868,640,480,319,552.8,-24.8000000000001,-24.5548981293529,FIST,46,21053,39641,29267,21725,14593,,,,,,9635485,34162047,18621229,10263897,4629533,,,,,
1.8014690876,1577122812.27,1.79999995231628,457,868,640,475,320,552,-25.6,-39.1579320869118,FIST,47,21510,40509,29907,22200,14913,,,,,,9844334,34915471,19030829,10489522,4731933,,,,,
1.82602286339,1577122812.3,1.82999992370605,457,868,640,474,321,552,-25.6,0,FIST,48,21967,41377,30547,22674,15234,,,,,,10053183,35668895,19440429,10714198,4834974,,,,,
1.8467669487,1577122812.32,1.84999990463257,457,868,640,473,319,551.4,-26.2,-28.9239072744645,FIST,49,22424,42245,31187,23147,15553,,,,,,10262032,36422319,19850029,10937927,4936735,,,,,
1.87135100365,1577122812.34,1.86999988555908,457,869,640,473,320,551.8,-25.8000000000001,16.2707088319446,FIST,50,22881,43114,31827,23620,15873,,,,,,10470881,37177480,20259629,11161656,5039135,,,,,
1.8956348896,1577122812.37,1.89999985694885,457,869,639,474,320,551.8,-25.8000000000001,0,FIST,51,23338,43983,32466,24094,16193,,,,,,10679730,37932641,20667950,11386332,5141535,,,,,
1.91642689705,1577122812.39,1.92000007629395,456,867,640,474,320,551.4,-26.2,-19.2381616331125,FIST,52,23794,44850,33106,24568,16513,,,,,,10887666,38684330,21077550,11611008,5243935,,,,,
1.94091200829,1577122812.41,1.94000005722046,457,868,640,477,320,552.4,-25.2,40.841145878331,FIST,53,24251,45718,33746,25045,16833,,,,,,11096515,39437754,21487150,11838537,5346335,,,,,
1.96137905121,1577122812.43,1.96000003814697,457,868,640,478,320,552.6,-25,9.77180732858147,FIST,54,24708,46586,34386,25523,17153,,,,,,11305364,40191178,21896750,12067021,5448735,,,,,
1.98584103584,1577122812.46,1.99000000953674,457,867,640,478,321,552.6,-25,0,FIST,55,25165,47453,35026,26001,17474,,,,,,11514213,40942867,22306350,12295505,5551776,,,,,
2.01051998138,1577122812.48,2.00999999046326,457,868,639,479,320,552.6,-25,0,FIST,56,25622,48321,35665,26480,17794,,,,,,11723062,41696291,22714671,12524946,5654176,,,,,
2.03110790253,1577122812.5,2.02999997138977,458,868,639,479,320,552.8,-24.8000000000001,9.71443394127872,FIST,57,26080,49189,36304,26959,18114,,,,,,11932826,42449715,23122992,12754387,5756576,,,,,
